matchId,videoTimestamp,postShotXg,xg,videoPath
5228091,4241.356215,0.2307,0.0555,
5228091,5649.835116,0.9232,0.5805,
5228092,1395.046373,0.5679,0.09266,
5228092,2502.209327,0.81,0.76,
5228093,1811.257653,0.4181,0.3319,
5228093,5413.706074,0.81,0.76,
5228094,2364.098073,0.7898,0.2227,
5228095,370.51124,0.3985,0.1135,
5228095,3064.709104,0.7485,0.2502,
5228095,5156.042589,0.2439,0.09993,
5228096,1058.474649,0.1821,0.08345,
5228096,3456.052634,0.3343,0.04577,
5228096,4460.812626,0.7988,0.7481,
5228096,4542.286794,0.5819,0.1282,
5228097,3659.951335,0.81,0.76,
5228097,3882.904164,0.7955,0.6628,
5228097,4905.113497,0.5283,0.2915,
5228097,6460.362666,0.6623,0.1947,
5228098,1150.181768,0.9331,0.6344,
5228098,2822.995874,0.8165,0.6433,
5228098,3919.783956,0.9205,0.6508,
5228098,4598.209219,0.2525,0.0234,
5228099,66.489909,0.7411,0.4879,
5228099,703.878207,0.5724,0.428,
5228099,4045.938608,0.1991,0.06885,
5228100,1151.337226,0.09431,0.1234,
5228100,1774.070844,0.4707,0.09664,
5228100,1898.524262,0.7862,0.7037,
5228100,2994.053316,0.7778,0.3598,
5228100,3614.145405,0.6906,0.1133,
5228100,3773.644383,0.307,0.09727,
5228100,4788.921152,0.4656,0.1215,
5228102,836.796416,0.6149,0.5285,
5228103,1800.245447,0.7859,0.4419,
5228103,4675.742568,0.3759,0.2607,
5228104,2300.443258,0.8786,0.8932,
5228104,2734.232983,0.8476,0.7525,
5228105,5078.530521,0.0249,0.03349,
5228106,3593.076769,0.81,0.76,
5228106,4513.462345,0.2878,0.2403,
5228106,5420.568505,0.9275,0.7434,
5228107,1139.441797,0.6965,0.1421,
5228107,2938.530932,0.6765,0.1405,
5228107,4469.516121,0.761,0.1689,
5228107,4720.445888,0.09292,0.1515,
5228108,5379.137618,0.4093,0.04822,
5228109,2099.963153,0.7456,0.1667,
5228109,5732.468339,0.5758,0.1043,
5228110,809.008668,0.6226,0.2015,
5228110,3292.066834,0.03314,0.1008,
5228110,3521.282466,0.5232,0.3181,
5228111,1948.230306,0.673,0.2196,
5228111,2982.2561,0.04295,0.05363,
5228111,5127.605181,0.4457,0.1002,
5228111,5449.674561,0.8683,0.7605,
5228112,2984.623708,0.2919,0.08917,
5228112,4239.257351,0.3819,0.1542,
5228112,5174.708505,0.1675,0.2471,
5228113,1032.232209,0.3241,0.2219,
5228113,3173.689452,0.7139,0.2238,
5228113,5578.926575,0.6354,0.4662,
5228114,328.126409,0.5601,0.4469,
5228114,2197.790581,0.6072,0.6296,
5228114,3573.031935,0.4472,0.2528,
5228114,3807.622894,0.4892,0.455,
5228114,3968.991731,0.4062,0.2667,
5228114,4353.326288,0.1929,0.06729,
5228114,4904.20975,0.766,0.286,
5228115,479.094149,0.3981,0.1043,
5228115,4022.9131,0.306,0.3594,
5228116,4472.581128,0.8778,0.4712,
5228116,5208.046067,0.6484,0.1398,
5228116,5771.609615,0.5761,0.112,
5228117,4460.165264,0.522,0.1013,
5228118,2255.038746,0.5439,0.1963,
5228118,3495.484635,0.793,0.2352,
5228119,509.74435,0.2743,0.04418,
5228119,3184.050104,0.3568,0.05062,
5228120,2905.24643,0.5284,0.1512,
5228120,3045.398542,0.06135,0.09754,
5228120,3185.775335,0.8455,0.5841,
5228120,4602.044646,0.5015,0.08833,
5228120,5201.499486,0.4465,0.4819,
5228121,1240.94923,0.2487,0.1622,
5228121,3984.351981,0.3244,0.3153,
5228121,4538.010869,0.1377,0.1083,
5228122,172.769818,0.3149,0.07062,
5228122,3644.022395,0.6487,0.2702,
5228122,4751.692636,0.3776,0.1083,
5228122,5611.084504,0.1361,0.1605,
5228123,4009.915197,0.04229,0.04627,
5228124,1649.453407,0.559,0.08583,
5228124,5712.712633,0.6439,0.2682,
5228125,49.197895,0.2132,0.1883,
5228125,754.702022,0.8355,0.6512,
5228125,1718.934815,0.02781,0.0216,
5228126,3374.522422,0.8775,0.7353,
5228126,4813.036618,0.2688,0.05759,
5228126,5049.211774,0.7063,0.1115,
5228126,5432.440053,0.1086,0.1132,
5228127,737.18052,0.7706,0.23,
5228127,1599.558971,0.2971,0.06762,
5228127,2163.862929,0.2448,0.07407,
5228127,2444.49172,0.8731,0.8084,
5228127,4169.035767,0.4819,0.3914,
5228127,4821.956929,0.81,0.76,
5228128,4733.584488,0.8392,0.5483,
5228129,247.267608,0.5554,0.1644,
5228129,3605.572703,0.7618,0.1656,
5228129,5112.171384,0.3239,0.14,
5228130,1893.289908,0.4159,0.05256,
5228130,2322.642167,0.6162,0.196,
5228130,3449.088987,0.8691,0.8528,
5228130,4896.701566,0.6021,0.1238,
5228130,5103.308081,0.2204,0.1979,
5228131,45.718283,0.5496,0.1371,
5228131,5890.392257,0.6757,0.3107,
5228132,2291.338153,0.3794,0.1336,
5228132,3594.161152,0.81,0.76,
5228133,1113.343233,0.4014,0.1563,
5228133,2169.193377,0.761,0.2536,
5228133,3137.969318,0.2624,0.2482,
5228133,4724.813312,0.2868,0.2139,
5228134,238.896054,0.612,0.1286,
5228134,1775.750437,0.5143,0.2925,
5228134,2168.77655,0.1395,0.01684,
5228134,3500.025504,0.3064,0.06246,
5228134,4778.667632,0.6144,0.2508,
5228135,19.320835,0.7262,0.3357,
5228135,761.134376,0.7106,0.07899,
5228135,3507.724725,0.7427,0.2644,
5228135,4798.707908,0.6579,0.3329,
5228136,804.600412,0.104,0.1276,
5228136,1159.554988,0.1783,0.1077,
5228136,3669.243293,0.5171,0.02632,
5228136,4753.981195,0.6246,0.2172,
5228137,2167.79718,0.1628,0.07048,
5228137,3279.123552,0.8544,0.4309,
5228137,3728.682217,0.6518,0.1494,
5228137,3768.746182,0.5203,0.1222,
5228137,4891.210548,0.75,0.4321,
5228137,5596.471273,0.5014,0.04846,
5228138,404.536334,0.797,0.4483,
5228139,2958.226644,0.725,0.377,
5228139,3121.364877,0.8315,0.6922,
5228140,1337.848582,0.3754,0.1464,
5228140,2323.289102,0.7822,0.7208,
5228140,3158.943869,0.5399,0.2567,
5228140,4320.481578,0.6954,0.5722,
5228141,490.673105,0.2464,0.2091,
5228141,869.635248,0.81,0.76,
5228141,2242.081068,0.5225,0.1766,
5228141,3901.313863,0.6499,0.1704,
5228141,4142.797569,0.1219,0.1281,
5228141,4193.433407,0.7327,0.5871,
5228142,2806.647794,0.81,0.76,
5228142,3441.905943,0.8462,0.4148,
5228142,4713.037788,0.5222,0.3081,
5228143,5191.219471,0.5927,0.3515,
5228144,292.581968,0.5629,0.08933,
5228144,5107.831594,0.6577,0.5048,
5228145,1386.311518,0.8042,0.4436,
5228145,3696.271206,0.07034,0.07281,
5228145,5164.927743,0.9494,0.3227,
5228146,1327.787697,0.7439,0.3529,
5228146,2163.984238,0.5367,0.07399,
5228146,3013.129702,0.7856,0.4655,
5228146,3453.814149,0.8106,0.6375,
5228146,3715.172944,0.8527,0.7125,
5228146,4502.772513,0.2083,0.06575,
5228146,5177.754179,0.8395,0.225,
5228146,5292.958946,0.7496,0.1572,
5228146,5496.890683,0.3269,0.06926,
5228147,4421.883443,0.81,0.76,
5228147,5703.053906,0.3798,0.215,
5228148,278.778183,0.1409,0.02642,
5228148,669.438964,0.4669,0.2489,
5228148,2049.906828,0.05778,0.02964,
5228148,3705.196885,0.6371,0.3094,
5228149,3042.425822,0.8153,0.1238,
5228149,3767.877289,0.543,0.0832,
5228149,4750.77654,0.1707,0.02097,
5228150,1236.178122,0.81,0.76,
5228151,2061.618058,0.755,0.2751,
5228151,3013.323554,0.2495,0.1738,
5228151,3951.936793,0.4654,0.1455,
5228151,4340.981848,0.81,0.76,
5228151,5385.242236,0.6974,0.09841,
5228151,5622.061889,0.7084,0.6798,
5228152,2502.931076,0.3843,0.05163,
5228153,3570.055893,0.917,0.8329,
5228154,725.333242,0.1335,0.1844,
5228155,3484.541884,0.7011,0.1341,
5228155,4626.365735,0.2709,0.01337,
5228155,5405.860155,0.5731,0.2113,
5228156,553.572612,0.81,0.76,
5228157,1108.09609,0.7088,0.2485,
5228157,2088.363359,0.4068,0.1294,
5228157,4840.437803,0.4714,0.1263,
5228158,3272.884675,0.4266,0.2625,
5228158,4758.57731,0.7415,0.5172,
5228158,5217.431743,0.3328,0.03657,
5228159,468.654971,0.1298,0.02701,
5228159,2604.074525,0.2537,0.1425,
5228160,2868.47356,0.6895,0.2334,
5228160,4607.111366,0.1218,0.03166,
5228160,5208.578618,0.8012,0.191,
5228161,5725.246606,0.5507,0.3976,
5228162,262.396011,0.81,0.76,
5228162,369.728985,0.8644,0.6637,
5228162,4257.488868,0.4175,0.0852,
5228162,5112.3928,0.4686,0.3661,
5228163,2481.787355,0.5022,0.06955,
5228163,4772.314203,0.3035,0.1177,
5228164,2657.869316,0.3229,0.08393,
5228164,3261.886359,0.148,0.09488,
5228164,5397.401443,0.6803,0.1455,
5228165,2493.756557,0.7627,0.479,
5228165,2595.301258,0.7335,0.2119,
5228165,3238.475859,0.81,0.76,
5228166,2281.946243,0.81,0.76,
5228166,3936.761291,0.1669,0.02427,
5228166,4517.16218,0.5473,0.3818,
5228167,2556.185628,0.2711,0.1429,
5228167,4379.252209,0.6183,0.1107,
5228167,4893.908097,0.5916,0.07205,
5228168,3416.345301,0.08498,0.1724,
5228168,4243.619105,0.86,0.3474,
5228168,5024.936854,0.8534,0.1102,
5228168,5302.149268,0.81,0.76,
5228169,525.916815,0.1281,0.06004,
5228169,3806.40171,0.3324,0.09453,
5228169,5382.394268,0.2576,0.05506,
5228170,1198.997895,0.1469,0.1879,
5228170,4933.586566,0.5189,0.08763,
5228171,424.200453,0.02921,0.003726,
5228171,1749.213967,0.8982,0.8225,
5228171,4102.299331,0.276,0.236,
5228171,5187.834324,0.4896,0.04911,
5228172,920.504704,0.6172,0.3171,
5228172,4575.237881,0.1159,0.02668,
5228173,4748.485903,0.7525,0.4864,
5228175,2654.470661,0.81,0.76,
5228175,3950.091336,0.5096,0.4035,
5228175,4474.62217,0.2266,0.163,
5228175,5793.750808,0.5344,0.1291,
5228176,468.69287,0.81,0.76,
5228176,2168.994651,0.4613,0.1125,
5228176,2957.160338,0.7963,0.3938,
5228176,4004.743884,0.1764,0.1478,
5228176,4336.283456,0.1603,0.1031,
5228176,4937.559018,0.831,0.5832,
5228177,3664.625335,0.2932,0.0771,
5228177,4829.819448,0.6357,0.3204,
5228177,5114.512669,0.7948,0.3033,
5228178,191.560207,0.7206,0.2064,
5228178,588.08179,0.81,0.76,
5228178,1079.188568,0.5065,0.0708,
5228178,5127.351293,0.8935,0.8118,
5228179,3192.297374,0.8239,0.2824,
5228179,3449.700461,0.6402,0.1542,
5228180,631.246247,0.1275,0.1774,
5228180,951.607563,0.81,0.76,
5228180,4242.15258,0.2396,0.3239,
5228180,5155.899069,0.7722,0.4485,
5228180,5583.955466,0.3389,0.03545,
5228181,1912.62125,0.07972,0.04159,
5228181,2722.719192,0.4183,0.4197,
5228182,2302.26076,0.8551,0.8533,
5228182,3026.29791,0.6002,0.2255,
5228182,5746.757482,0.3184,0.04256,
5228182,5960.968133,0.6301,0.5285,
5228183,2516.894918,0.8892,0.5527,
5228183,4372.082965,0.8294,0.4906,
5228184,1837.537649,0.1898,0.07682,
5228184,2073.513712,0.07183,0.1076,
5228184,3450.982968,0.646,0.1796,
5228184,4094.10945,0.6483,0.3228,
5228184,4718.217108,0.8734,0.54,
5228184,5503.967493,0.839,0.3054,
5228185,1135.687386,0.4634,0.08512,
5228185,3725.043811,0.4826,0.147,
5228185,4168.124923,0.1449,0.1633,
5228186,2939.792217,0.81,0.76,
5228186,3437.134658,0.4843,0.05398,
5228186,4763.422152,0.81,0.76,
5228186,5718.412704,0.3995,0.05155,
5228187,1754.324423,0.5698,0.3728,
5228188,3408.275311,0.7589,0.3502,
5228188,5330.852432,0.09741,0.02694,
5228189,4035.60419,0.4864,0.2287,
5228189,4565.085614,0.7273,0.127,
5228189,5471.971054,0.2653,0.2753,
5228190,2781.874948,0.81,0.76,
5228190,3519.434065,0.452,0.06685,
5228190,4316.721275,0.3993,0.1158,
5228190,4804.4495,0.6591,0.3026,
5228190,5020.914688,0.5091,0.08653,
5228191,2575.318212,0.8316,0.5587,
5228191,3576.562673,0.81,0.76,
5228191,4744.338841,0.18,0.2021,
5228192,2072.368973,0.5939,0.1538,
5228192,2780.418843,0.8066,0.5163,
5228193,3679.728792,0.8232,0.5511,
5228193,3862.793941,0.1193,0.02708,
5228193,4125.802141,0.3414,0.07468,
5228193,4798.83135,0.81,0.76,
5228193,5037.45283,0.8019,0.2016,
5228194,2575.050287,0.618,0.4466,
5228195,493.282192,0.4366,0.2039,
5228195,1369.097362,0.8066,0.4787,
5228195,3179.422509,0.1865,0.226,
5228196,191.364795,0.6416,0.05098,
5228196,964.047981,0.9174,0.9179,
5228197,260.313269,0.2136,0.1403,
5228197,394.171229,0.8662,0.5677,
5228197,560.817715,0.1786,0.147,
5228197,932.845484,0.8947,0.1237,
5228198,404.148894,0.81,0.76,
5228198,1720.909448,0.2064,0.05116,
5228198,4611.223848,0.1668,0.02485,
5228198,4758.896073,0.9323,0.856,
5228198,4862.516493,0.6056,0.1363,
5228199,338.315383,0.292,0.0766,
5228199,889.423295,0.1501,0.03639,
5228199,2399.916034,0.2224,0.1742,
5228199,5710.199549,0.5306,0.3005,
5228200,3304.9343,0.6869,0.5413,
5228200,5096.26906,0.6052,0.12,
5228201,392.596685,0.7178,0.3757,
5228201,2681.903327,0.81,0.76,
5228202,3533.1354,0.81,0.76,
5228203,767.474037,0.6418,0.2468,
5228203,2696.862994,0.4569,0.1318,
5228203,2876.108487,0.5404,0.06827,
5228203,3169.336037,0.589,0.5842,
5228203,3272.44358,0.584,0.5958,
5228203,3836.040181,0.7484,0.09449,
5228203,4997.934254,0.7061,0.3523,
5228203,5218.417323,0.3482,0.132,
5228204,59.130171,0.1752,0.03369,
5228204,1398.142271,0.489,0.1196,
5228204,3068.69113,0.5419,0.1786,
5228205,1417.063105,0.6845,0.4611,
5228205,4680.837354,0.6805,0.2365,
5228205,4890.612102,0.5017,0.2478,
5228206,4768.766644,0.9091,0.8126,
5228206,5141.038155,0.293,0.08906,
5228206,5309.444537,0.6554,0.3309,
5228207,1525.866332,0.06384,0.1134,
5228207,2212.95991,0.5567,0.4487,
5228207,3030.449155,0.8378,0.5151,
5228207,3349.378187,0.5865,0.148,
5228207,4852.752293,0.8803,0.4554,
5228207,5331.042438,0.5438,0.1078,
5228208,902.79338,0.8728,0.5225,
5228208,2095.026488,0.6716,0.1281,
5228208,2314.818267,0.03663,0.02854,
5228208,3170.40983,0.81,0.76,
5228209,2266.66827,0.8832,0.8026,
5228209,5507.614694,0.5041,0.2451,
5228210,3880.647305,0.8615,0.5259,
5228210,4994.875931,0.8689,0.8279,
5228211,4062.422602,0.09833,0.07796,
5228212,3462.942674,0.81,0.76,
5228212,5399.421778,0.682,0.3396,
5228214,1710.32352,0.3496,0.332,
5228214,1995.187509,0.3029,0.08637,
5228214,2319.366329,0.8353,0.7563,
5228216,2068.737372,0.81,0.76,
5228216,2341.500235,0.8108,0.3691,
5228217,2162.36645,0.8083,0.3936,
5228219,1149.631725,0.4095,0.1783,
5228219,4294.223986,0.315,0.3117,
5228219,4457.116091,0.7203,0.3153,
5228219,5246.202725,0.3922,0.3491,
5228220,149.621494,0.389,0.0603,
5228220,438.802058,0.8359,0.6234,
5228220,5402.271134,0.9765,0.5788,
5228221,3374.362683,0.8537,0.4922,
5228221,4554.038249,0.7721,0.493,
5228221,4986.906213,0.6867,0.2464,
5228222,3093.659134,0.8611,0.7133,
5228222,3926.430314,0.6934,0.3255,
5228222,4721.35401,0.02556,0.01834,
5228223,1823.863888,0.05914,0.1222,
5228223,2213.344718,0.2887,0.2337,
5228223,5003.187748,0.5613,0.1393,
5228224,241.697201,0.5906,0.1381,
5228224,5589.663485,0.305,0.2099,
5228225,312.437635,0.7428,0.3061,
5228225,966.259666,0.6058,0.5642,
5228225,1355.525468,0.706,0.2751,
5228225,1823.276675,0.1465,0.2178,
5228225,2841.997434,0.3777,0.253,
5228225,3844.683727,0.9222,0.6779,
5228225,4409.706297,0.4214,0.3004,
5228225,5022.790437,0.4188,0.05013,
5228226,2083.117826,0.793,0.4998,
5228226,3037.644378,0.6371,0.111,
5228226,4438.795814,0.2046,0.02217,
5228226,4815.319771,0.6543,0.2305,
5228226,5061.153009,0.1969,0.13,
5228227,1319.442404,0.313,0.1434,
5228227,4020.493697,0.6408,0.1734,
5228227,4105.417999,0.805,0.5462,
5228228,2934.084595,0.7712,0.6703,
5228228,3816.256768,0.1522,0.1068,
5228228,4879.519217,0.2023,0.05075,
5228229,276.540035,0.5852,0.189,
5228229,3452.517272,0.784,0.2842,
5228230,2003.178775,0.2363,0.1916,
5228230,2557.334568,0.3516,0.04644,
5228230,3859.548205,0.81,0.76,
5228230,4704.792066,0.3192,0.4115,
5228231,746.702146,0.3333,0.3454,
5228231,2389.428717,0.3835,0.1547,
5228231,3109.282741,0.571,0.3304,
5228231,4069.891536,0.4892,0.13,
5228232,154.575959,0.8148,0.4274,
5228232,690.535346,0.05664,0.05107,
5228233,2694.143402,0.3549,0.05404,
5228233,4118.758469,0.02004,0.1331,
5228233,4662.397076,0.101,0.03206,
5228233,5236.901853,0.81,0.76,
5228234,824.476019,0.8688,0.642,
5228234,987.174215,0.05979,0.06098,
5228234,1188.953325,0.1113,0.195,
5228234,2926.510132,0.4259,0.2202,
5228235,1012.833792,0.81,0.76,
5228235,1762.31404,0.8032,0.4403,
5228235,2524.602431,0.6593,0.4499,
5228235,2619.590182,0.08567,0.1277,
5228235,2744.700822,0.6987,0.2988,
5228236,1461.597689,0.8118,0.73,
5228236,1578.056821,0.9232,0.728,
5228236,3956.725409,0.5028,0.2719,
5228236,4686.510189,0.7925,0.1495,
5228236,5168.233785,0.7213,0.2037,
5228237,1303.482212,0.7066,0.6361,
5228237,2235.761704,0.8578,0.7153,
5228237,3703.906446,0.1266,0.1217,
5228238,605.946014,0.4253,0.06341,
5228239,1681.41944,0.5355,0.14,
5228239,4662.333412,0.893,0.8102,
5228240,2537.809579,0.6698,0.2263,
5228240,3260.645645,0.5661,0.2823,
5228241,1866.190985,0.7887,0.2416,
5228241,3944.04352,0.08753,0.03094,
5228241,4514.630156,0.3797,0.06594,
5228242,3576.784472,0.68,0.08345,
5228243,784.032157,0.5318,0.09501,
5228243,4670.981516,0.4528,0.07931,
5228243,5118.662028,0.3898,0.122,
5228244,731.409375,0.5077,0.1113,
5228244,3291.266762,0.6317,0.2757,
5228244,4492.615649,0.5017,0.2181,
5228245,1722.440907,0.1587,0.03075,
5228246,3559.325303,0.05731,0.04563,
5228246,4096.257488,0.5039,0.1939,
5228246,4804.753427,0.4891,0.4088,
